,IMAGE_NUMBER,REAL_NAME,MALE,FEMALE,SELECT,PAPER,PAPER_NUMBER,CORRECT
248,249,U0432.bmp,95,5,Select,Yes,84,Male
249,250,U0434.bmp,5,95,Select,No,,Female
250,251,U0435.bmp,100,0,Select,Yes,85,Male
251,252,U0436.bmp,30,70,No,Yes,86,Not agreed
252,253,U0441.bmp,85,15,No,Yes,87,Not agreed
253,254,U0443.bmp,95,5,Select,Yes,88,Male
254,255,U0445.bmp,95,5,Select,No,,Male
255,256,U0448.bmp,20,80,No,Yes,89,Not agreed
256,257,U0451.bmp,90,10,Select,Yes,90,Male
257,258,U0452.bmp,100,0,Select,No,,Male
258,259,U0457.bmp,15,85,No,No,,Not agreed
259,260,U0459.bmp,95,5,Select,Yes,91,Male
260,261,U0461.bmp,95,5,Select,Yes,92,Male
261,262,U0462.bmp,50,50,No,Yes,93,Not agreed
262,263,U0464.bmp,25,75,No,Yes,94,Not agreed
263,264,U0470.bmp,65,35,No,Yes,95,Not agreed
264,265,U0480.bmp,95,5,Select,No,,Male
265,266,U0488.bmp,10,90,Select,No,,Female
266,267,U0493.bmp,95,5,Select,No,,Male
267,268,U0495.bmp,100,0,Select,No,,Male
268,269,U0497.bmp,90,10,Select,No,,Male
269,270,U0499.bmp,95,5,Select,No,,Male
270,271,U0501.bmp,5,95,Select,No,,Female
271,272,U0502.bmp,100,0,Select,No,,Male
272,273,U0503.bmp,10,90,Select,Yes,96,Female
273,274,U0504.bmp,100,0,Select,No,,Male
274,275,obama.bmp,100,0,Select,No,,Male
275,276,scarlett.bmp,0,100,Select,No,,Female
276,277,bradpitt.bmp,100,0,Select,No,,Male
277,278,angelina.bmp,0,100,Select,No,,Female
,,I0001.bmp,10,90,Select,No,,Female
,,I0003.bmp,0,100,Select,No,,Female
,,I0005.bmp,35,65,No,Yes,1,Not agreed
,,I0006.bmp,10,90,Select,Yes,2,Female
,,I0009.bmp,0,100,Select,Yes,3,Female
,,I0010.bmp,45,55,No,Yes,4,Not agreed
,,I0011.bmp,5,95,Select,Yes,5,Female
,,I0012.bmp,95,5,Select,Yes,6,Male
,,I0014.bmp,95,5,Select,Yes,7,Male
,,I0015.bmp,75,25,No,Yes,8,Not agreed
,,I0017.bmp,100,0,Select,No,,Male
,,I0018.bmp,0,100,Select,No,,Female
,,I0019.bmp,90,10,Select,No,,Male
,,I0020.bmp,90,10,Select,No,,Male
,,I0023.bmp,0,100,Select,No,,Female
,,I0024.bmp,10,90,Select,Yes,9,Female
,,I0025.bmp,0,100,Select,No,,Female
,,I0026.bmp,20,80,No,No,,Not agreed
,,I0027.bmp,0,100,Select,No,,Female
,,I0028.bmp,30,70,No,Yes,10,Not agreed
,,I0030.bmp,10,90,Select,Yes,11,Female
,,I0031.bmp,100,0,Select,No,,Male
,,I0033.bmp,40,60,No,Yes,12,Not agreed
,,I0034.bmp,0,100,Select,Yes,13,Female
,,I0036.bmp,100,0,Select,No,,Male
,,I0037.bmp,100,0,Select,No,,Male
,,I0038.bmp,100,0,Select,Yes,14,Male
,,I0039.bmp,95,5,Select,No,,Male
,,I0041.bmp,50,50,No,Yes,15,Not agreed
,,I0042.bmp,75,25,No,Yes,16,Not agreed
,,I0046.bmp,100,0,Select,Yes,17,Male
,,I0047.bmp,70,30,No,Yes,18,Not agreed
,,I0048.bmp,95,5,Select,No,,Male
,,I0049.bmp,95,5,Select,No,,Male
,,I0050.bmp,100,0,Select,No,,Male
,,I0052.bmp,100,0,Select,No,,Male
,,I0057.bmp,15,85,No,No,,Not agreed
,,I0058.bmp,100,0,Select,No,,Male
,,I0059.bmp,35,65,No,Yes,19,Not agreed
,,I0061.bmp,0,100,Select,Yes,20,Female
,,I0064.bmp,0,100,Select,No,,Female
,,I0068.bmp,90,10,Select,Yes,21,Male
,,I0069.bmp,0,100,Select,No,,Female
,,I0071.bmp,95,5,Select,No,,Male
,,I0072.bmp,45,55,No,Yes,22,Not agreed
,,I0073.bmp,40,60,No,Yes,23,Not agreed
,,I0074.bmp,100,0,Select,Yes,24,Male
,,I0075.bmp,95,5,Select,No,,Male
,,I0076.bmp,0,100,Select,No,,Female
,,I0078.bmp,70,30,No,Yes,25,Not agreed
,,I0079.bmp,0,100,Select,No,,Female
,,I0080.bmp,5,95,Select,No,,Female
,,I0084.bmp,95,5,Select,No,,Male
,,I0086.bmp,0,100,Select,Yes,26,Female
,,I0087.bmp,15,85,No,Yes,27,Not agreed
,,I0090.bmp,95,5,Select,No,,Male
,,I0091.bmp,20,80,No,No,,Not agreed
,,I0093.bmp,70,30,No,Yes,28,Not agreed
,,I0095.bmp,10,90,Select,No,,Female
,,I0096.bmp,95,5,Select,Yes,29,Male
,,I0097.bmp,0,100,Select,No,,Female
,,I0101.bmp,90,10,Select,No,,Male
,,I0103.bmp,55,45,No,Yes,30,Not agreed
,,I0106.bmp,5,95,Select,No,,Female
,,I0107.bmp,10,90,Select,Yes,31,Female
,,I0108.bmp,0,100,Select,No,,Female
,,I0110.bmp,95,5,Select,No,,Male
,,I0114.bmp,0,100,Select,No,,Female
,,I0117.bmp,95,5,Select,No,,Male
,,I0120.bmp,40,60,No,Yes,32,Not agreed
,,I0121.bmp,95,5,Select,Yes,33,Male
,,I0122.bmp,95,5,Select,Yes,34,Male
,,I0123.bmp,0,100,Select,Yes,35,Female
,,I0124.bmp,5,95,Select,No,,Female
,,I0125.bmp,100,0,Select,No,,Male
,,I0126.bmp,10,90,Select,No,,Female
,,I0128.bmp,95,5,Select,No,,Male
,,I0129.bmp,15,85,No,Yes,36,Not agreed
,,I0131.bmp,85,15,No,Yes,37,Not agreed
,,I0133.bmp,10,90,Select,No,,Female
,,I0134.bmp,10,90,Select,Yes,38,Female
,,I0136.bmp,95,5,Select,No,,Male
,,I0137.bmp,10,90,Select,No,,Female
,,I0138.bmp,25,75,No,Yes,39,Not agreed
,,I0139.bmp,50,50,No,Yes,40,Not agreed
,,I0140.bmp,0,100,Select,No,,Female
,,I0141.bmp,0,100,Select,No,,Female
,,I0142.bmp,95,5,Select,No,,Male
,,I0144.bmp,95,5,Select,No,,Male
,,I0145.bmp,15,85,No,Yes,41,Not agreed
,,I0146.bmp,5,95,Select,No,,Female
,,I0149.bmp,90,10,Select,No,,Male
,,I0152.bmp,5,95,Select,No,,Female
,,I0153.bmp,95,5,Select,No,,Male
,,I0155.bmp,5,95,Select,No,,Female
,,I0156.bmp,5,95,Select,No,,Female
,,I0157.bmp,95,5,Select,No,,Male
,,I0158.bmp,100,0,Select,No,,Male
,,I0159.bmp,100,0,Select,No,,Male
,,I0160.bmp,5,95,Select,No,,Female
,,I0164.bmp,5,95,Select,No,,Female
,,I0165.bmp,15,85,No,No,,Not agreed
,,I0166.bmp,95,5,Select,No,,Male
,,I0168.bmp,60,40,No,Yes,42,Not agreed
,,I0171.bmp,100,0,Select,No,,Male
,,I0173.bmp,10,90,Select,Yes,43,Female
,,I0175.bmp,100,0,Select,No,,Male
,,I0178.bmp,100,0,Select,Yes,44,Male
,,I0179.bmp,75,25,No,Yes,45,Not agreed
,,I0181.bmp,5,95,Select,No,,Female
,,I0182.bmp,25,75,No,Yes,46,Not agreed
,,I0183.bmp,70,30,No,Yes,47,Not agreed
,,I0186.bmp,15,85,No,Yes,48,Not agreed
,,I0187.bmp,80,20,No,Yes,49,Not agreed
,,I0188.bmp,15,85,No,Yes,50,Not agreed
,,I0189.bmp,30,70,No,No,,Not agreed
,,I0192.bmp,20,80,No,No,,Not agreed
,,I0193.bmp,5,95,Select,Yes,51,Female
,,I0194.bmp,5,95,Select,No,,Female
,,I0195.bmp,40,60,No,Yes,52,Not agreed
,,I0197.bmp,100,0,Select,Yes,53,Male
,,I0198.bmp,95,5,Select,No,,Male
,,I0199.bmp,100,0,Select,No,,Male
,,I0204.bmp,5,95,Select,No,,Female
,,I0206.bmp,5,95,Select,No,,Female
,,I0207.bmp,100,0,Select,Yes,54,Male
,,I0208.bmp,0,100,Select,No,,Female
,,I0209.bmp,80,20,No,No,,Not agreed
,,I0210.bmp,5,95,Select,No,,Female
,,I0211.bmp,90,10,Select,No,,Male
,,I0214.bmp,5,95,Select,Yes,55,Female
,,I0215.bmp,15,85,No,No,,Not agreed
,,I0217.bmp,95,5,Select,Yes,56,Male
,,I0219.bmp,0,100,Select,No,,Female
,,I0220.bmp,0,100,Select,No,,Female
,,I0222.bmp,100,0,Select,No,,Male
,,I0223.bmp,100,0,Select,No,,Male
,,I0225.bmp,0,100,Select,No,,Female
,,I0228.bmp,100,0,Select,Yes,57,Male
,,I0229.bmp,0,100,Select,No,,Female
,,I0230.bmp,35,65,No,Yes,58,Not agreed
,,I0231.bmp,5,95,Select,No,,Female
,,I0233.bmp,15,85,No,No,,Not agreed
,,I0234.bmp,95,5,Select,No,,Male
,,I0236.bmp,15,85,No,No,,Not agreed
,,I0239.bmp,95,5,Select,No,,Male
,,I0240.bmp,95,5,Select,No,,Male
,,I0242.bmp,70,30,No,Yes,59,Not agreed
,,I0244.bmp,10,90,Select,Yes,60,Female
,,I0245.bmp,100,0,Select,No,,Male
,,I0248.bmp,100,0,Select,Yes,61,Male
,,I0249.bmp,95,5,Select,No,,Male
,,I0252.bmp,0,100,Select,No,,Female
,,I0254.bmp,95,5,Select,Yes,62,Male
,,I0255.bmp,10,90,Select,No,,Female
,,I0258.bmp,0,100,Select,Yes,63,Female
,,I0260.bmp,85,15,No,Yes,64,Not agreed
,,I0262.bmp,0,100,Select,No,,Female
,,I0264.bmp,0,100,Select,No,,Female
,,I0266.bmp,85,15,No,No,,Not agreed
,,I0269.bmp,100,0,Select,No,,Male
,,I0272.bmp,100,0,Select,No,,Male
,,I0273.bmp,100,0,Select,No,,Male
,,I0274.bmp,95,5,Select,No,,Male
,,I0276.bmp,0,100,Select,No,,Female
,,I0277.bmp,95,5,Select,No,,Male
,,I0280.bmp,20,80,No,Yes,65,Not agreed
,,I0283.bmp,0,100,Select,No,,Female
,,I0284.bmp,95,5,Select,No,,Male
,,I0286.bmp,100,0,Select,No,,Male
,,I0288.bmp,100,0,Select,No,,Male
,,I0291.bmp,100,0,Select,No,,Male
,,I0292.bmp,0,100,Select,No,,Female
,,I0293.bmp,0,100,Select,No,,Female
,,I0294.bmp,40,60,No,Yes,66,Not agreed
,,I0295.bmp,5,95,Select,No,,Female
,,I0296.bmp,85,15,No,No,,Not agreed
,,I0297.bmp,100,0,Select,No,,Male
,,I0298.bmp,0,100,Select,No,,Female
,,I0301.bmp,5,95,Select,No,,Female
,,I0302.bmp,95,5,Select,No,,Male
,,I0304.bmp,5,95,Select,No,,Female
,,I0305.bmp,5,95,Select,No,,Female
,,I0307.bmp,100,0,Select,No,,Male
,,I0309.bmp,5,95,Select,Yes,67,Female
,,I0312.bmp,95,5,Select,Yes,68,Male
,,I0313.bmp,5,95,Select,No,,Female
,,I0314.bmp,5,95,Select,No,,Female
,,I0316.bmp,90,10,Select,No,,Male
,,I0317.bmp,95,5,Select,No,,Male
,,I0319.bmp,95,5,Select,No,,Male
,,I0320.bmp,100,0,Select,No,,Male
,,I0321.bmp,5,95,Select,No,,Female
,,I0325.bmp,35,65,No,No,,Not agreed
,,I0326.bmp,5,95,Select,No,,Female
,,I0328.bmp,100,0,Select,No,,Male
,,I0329.bmp,100,0,Select,No,,Male
,,I0330.bmp,100,0,Select,No,,Male
,,I0331.bmp,100,0,Select,No,,Male
,,I0332.bmp,15,85,No,No,,Not agreed
,,I0334.bmp,0,100,Select,No,,Female
,,I0335.bmp,5,95,Select,No,,Female
,,I0336.bmp,35,65,No,No,,Not agreed
,,I0337.bmp,0,100,Select,No,,Female
,,I0340.bmp,100,0,Select,No,,Male
,,I0346.bmp,95,5,Select,No,,Male
,,I0348.bmp,95,5,Select,No,,Male
,,I0355.bmp,95,5,Select,No,,Male
,,I0356.bmp,100,0,Select,No,,Male
,,I0357.bmp,100,0,Select,Yes,69,Male
,,I0359.bmp,90,10,Select,No,,Male
,,I0361.bmp,10,90,Select,No,,Female
,,I0362.bmp,10,90,Select,No,,Female
,,I0363.bmp,10,90,Select,No,,Female
,,I0366.bmp,5,95,Select,No,,Female
,,I0367.bmp,0,100,Select,No,,Female
,,I0368.bmp,0,100,Select,Yes,70,Female
,,I0369.bmp,5,95,Select,Yes,71,Female
,,I0370.bmp,0,100,Select,No,,Female
,,I0373.bmp,5,95,Select,No,,Female
,,I0374.bmp,0,100,Select,No,,Female
,,I0375.bmp,0,100,Select,No,,Female
,,I0377.bmp,5,95,Select,Yes,72,Female
,,I0381.bmp,5,95,Select,No,,Female
,,I0382.bmp,5,95,Select,No,,Female
,,I0384.bmp,90,10,Select,No,,Male
,,I0385.bmp,90,10,Select,No,,Male
,,I0387.bmp,75,25,No,Yes,73,Not agreed
,,I0393.bmp,100,0,Select,Yes,74,Male
,,I0395.bmp,95,5,Select,No,,Male
,,I0396.bmp,25,75,No,Yes,75,Not agreed
,,I0397.bmp,5,95,Select,Yes,76,Female
,,I0398.bmp,100,0,Select,No,,Male
,,I0399.bmp,90,10,Select,No,,Male
,,I0400.bmp,90,10,Select,Yes,77,Male
,,I0401.bmp,95,5,Select,Yes,78,Male
,,I0402.bmp,85,15,No,No,,Not agreed
,,I0403.bmp,90,10,Select,No,,Male
,,I0406.bmp,45,55,No,Yes,79,Not agreed
,,I0408.bmp,90,10,Select,No,,Male
,,I0411.bmp,100,0,Select,Yes,80,Male
,,I0412.bmp,25,75,No,Yes,81,Not agreed
,,I0415.bmp,100,0,Select,Yes,82,Male
,,I0416.bmp,100,0,Select,No,,Male
,,I0417.bmp,95,5,Select,No,,Male
,,I0419.bmp,75,25,No,Yes,83,Not agreed
,,I0424.bmp,0,100,Select,No,,Female
,,I0427.bmp,10,90,Select,No,,Female
,,I0432.bmp,95,5,Select,Yes,84,Male
,,I0434.bmp,5,95,Select,No,,Female
,,I0435.bmp,100,0,Select,Yes,85,Male
,,I0436.bmp,30,70,No,Yes,86,Not agreed
,,I0441.bmp,85,15,No,Yes,87,Not agreed
,,I0443.bmp,95,5,Select,Yes,88,Male
,,I0445.bmp,95,5,Select,No,,Male
,,I0448.bmp,20,80,No,Yes,89,Not agreed
,,I0451.bmp,90,10,Select,Yes,90,Male
,,I0452.bmp,100,0,Select,No,,Male
,,I0457.bmp,15,85,No,No,,Not agreed
,,I0459.bmp,95,5,Select,Yes,91,Male
,,I0461.bmp,95,5,Select,Yes,92,Male
,,I0462.bmp,50,50,No,Yes,93,Not agreed
,,I0464.bmp,25,75,No,Yes,94,Not agreed
,,I0470.bmp,65,35,No,Yes,95,Not agreed
,,I0480.bmp,95,5,Select,No,,Male
,,I0488.bmp,10,90,Select,No,,Female
,,I0493.bmp,95,5,Select,No,,Male
,,I0495.bmp,100,0,Select,No,,Male
,,I0497.bmp,90,10,Select,No,,Male
,,I0499.bmp,95,5,Select,No,,Male
,,I0501.bmp,5,95,Select,No,,Female
,,I0502.bmp,100,0,Select,No,,Male
,,I0503.bmp,10,90,Select,Yes,96,Female
,,I0504.bmp,100,0,Select,No,,Male
